"region","customer_id","customer_name","total_sales","row_number_rank","rank_with_gaps","dense_rank_no_gaps"
"Central","SF-20965","Sylvia Foulston","1786.658","73","73","73"
"Central","RO-19780","Rose O'Brian","1772.306","74","74","74"
"Central","AH-10465","Amy Hunt","1757.8536","75","75","75"
"Central","AW-10930","Arthur Wiediger","1748.020","76","76","76"
"Central","AA-10480","Andrew Allen","1747.50","77","77","77"
"Central","NC-18415","Nathan Cano","1747.230","78","78","78"
"Central","SL-20155","Sara Luxemburg","1743.598","79","79","79"
"Central","ME-17320","Maria Etezadi","1737.256","80","80","80"
"Central","LC-16930","Linda Cazamias","1719.810","81","81","81"
"Central","AJ-10945","Ashley Jarboe","1715.16","82","82","82"
"Central","KT-16465","Kean Takahito","1711.706","83","83","83"
"Central","JO-15145","Jack O'Briant","1671.93","84","84","84"
"Central","BO-11350","Bill Overfelt","1655.13","85","85","85"
"Central","KD-16270","Karen Daniels","1639.496","86","86","86"
"Central","EM-13825","Elizabeth Moffitt","1621.652","87","87","87"
"Central","CV-12295","Christina VanderZanden","1614.236","88","88","88"
"Central","RF-19735","Roland Fjeld","1571.366","89","89","89"
"Central","KM-16375","Katherine Murray","1569.896","90","90","90"
"Central","RP-19855","Roy Phan","1543.87","91","91","91"
"Central","MY-18295","Muhammed Yedwab","1527.718","92","92","92"
"Central","SU-20665","Stephanie Ulpright","1520.914","93","93","93"
"Central","AS-10045","Aaron Smayling","1476.270","94","94","94"
"Central","DJ-13420","Denny Joy","1454.9","95","95","95"
"Central","EA-14035","Erin Ashbrook","1443.410","96","96","96"
"Central","CM-12235","Chris McAfee","1426.884","97","97","97"
"Central","DE-13255","Deanra Eno","1423.34","98","98","98"
"Central","DB-13555","Dorothy Badders","1407.2048","99","99","99"
"Central","MC-17590","Matt Collister","1406.917","100","100","100"
"Central","BT-11395","Bill Tyler","1384.81","101","101","101"
"Central","AG-10900","Arthur Gainer","1372.166","102","102","102"
"Central","GH-14485","Gene Hale","1361.244","103","103","103"
"Central","KB-16240","Karen Bern","1347.852","104","104","104"
"Central","JS-16030","Joy Smith","1346.914","105","105","105"
"Central","BP-11185","Ben Peterman","1344.813","106","106","106"
"Central","BS-11665","Brian Stugart","1328.128","107","107","107"
"Central","PK-19075","Pete Kriz","1325.40","108","108","108"
"Central","CV-12805","Cynthia Voltz","1321.0776","109","109","109"
"Central","SN-20560","Skye Norling","1310.564","110","110","110"
"Central","MA-17560","Matt Abelman","1309.693","111","111","111"
"Central","RH-19600","Rob Haberlin","1305.810","112","112","112"
"Central","TB-21280","Toby Braunhardt","1287.45","113","113","113"
"Central","EM-14140","Eugene Moren","1282.61","114","114","114"
"Central","NG-18430","Nathan Gelder","1278.944","115","115","115"
"Central","PO-18850","Patrick O'Brill","1264.9302","116","116","116"
"Central","FH-14275","Frank Hawley","1262.160","117","117","117"
"Central","AS-10090","Adam Shillingsburg","1252.316","118","118","118"
"Central","MM-18055","Michelle Moray","1241.413","119","119","119"
"Central","RK-19300","Ralph Kennedy","1238.33","120","120","120"
"Central","JL-15835","John Lee","1233.61","121","121","121"
"Central","KH-16360","Katherine Hughes","1232.780","122","122","122"
"Central","SV-20815","Stuart Van","1228.402","123","123","123"
"Central","KT-16480","Kean Thornton","1225.5564","124","124","124"
"Central","VW-21775","Victoria Wilson","1222.47","125","125","125"
"Central","GM-14455","Gary Mitchum","1199.408","126","126","126"
"Central","GT-14710","Greg Tran","1196.852","127","127","127"
"Central","MP-17470","Mark Packer","1194.866","128","128","128"
"Central","SV-20365","Seth Vernon","1190.53","129","129","129"
"Central","MC-17605","Matt Connell","1181.006","130","130","130"
"Central","LS-16975","Lindsay Shagiari","1170.750","131","131","131"
"Central","DK-12835","Damala Kotsonis","1162.772","132","132","132"
"Central","DK-13375","Dennis Kane","1138.792","133","133","133"
"Central","JK-15730","Joe Kamberova","1138.024","134","134","134"
"Central","AH-10690","Anna Hдberlin","1135.394","135","135","135"
"Central","LC-16885","Lena Creighton","1126.948","136","136","136"
"Central","YC-21895","Yoseph Carroll","1122.184","137","137","137"
"Central","FM-14380","Fred McMath","1115.528","138","138","138"
"Central","MC-18100","Mick Crebagga","1111.110","139","139","139"
"Central","IM-15070","Irene Maddox","1099.96","140","140","140"
"Central","RW-19690","Robert Waldorf","1092.10","141","141","141"
"Central","CC-12220","Chris Cortes","1085.052","142","142","142"
"Central","NM-18445","Nathan Mautz","1075.03","143","143","143"
"Central","FP-14320","Frank Preis","1061.328","144","144","144"
"Central","CD-12790","Cynthia Delaney","1058.27","145","145","145"
"Central","NP-18670","Nora Paige","1055.21","146","146","146"
"Central","HR-14770","Hallie Redmond","1046.10","147","147","147"
"Central","PV-18985","Paul Van Hugh","1044.486","148","148","148"
"Central","TB-21400","Tom Boeckenhauer","1040.19","149","149","149"
"Central","NZ-18565","Nick Zandusky","1037.336","150","150","150"
"Central","DL-12925","Daniel Lacy","1034.05","151","151","151"
"Central","BF-11020","Barry Franzцsisch","1026.570","152","152","152"
"Central","MD-17860","Michael Dominguez","1023.904","153","153","153"
"Central","KD-16495","Keith Dawkins","1007.354","154","154","154"
"Central","DS-13180","David Smith","1005.4428","155","155","155"
"Central","KL-16555","Kelly Lampkin","1003.486","156","156","156"
"Central","BT-11680","Brian Thompson","1002.29","157","157","157"
"Central","NP-18685","Nora Pelletier","999.98","158","158","158"
"Central","SH-19975","Sally Hughsby","993.886","159","159","159"
"Central","XP-21865","Xylona Preis","989.720","160","160","160"
"Central","VD-21670","Valerie Dominguez","971.88","161","161","161"
"Central","NC-18625","Noah Childs","965.852","162","162","162"
"Central","JM-15250","Janet Martin","954.902","163","163","163"
"Central","SC-20680","Steve Carroll","952.30","164","164","164"
"Central","BS-11755","Bruce Stewart","933.95","165","165","165"
"Central","MD-17350","Maribeth Dona","933.408","166","166","166"
"Central","AG-10495","Andrew Gjertsen","915.459","167","167","167"
"Central","SC-20230","Scot Coram","911.256","168","168","168"
"Central","RD-19900","Ruben Dartt","898.56","169","169","169"
"Central","MJ-17740","Max Jones","895.92","170","170","170"
"Central","BM-11785","Bryan Mills","895.888","171","171","171"
"Central","MG-18145","Mike Gockenbach","890.841","172","172","172"
"Central","JK-16120","Julie Kriz","889.536","173","173","173"
"Central","SJ-20215","Sarah Jordon","886.200","174","174","174"
"Central","SM-20950","Suzanne McNair","880.036","175","175","175"
"Central","BG-11695","Brooke Gillingham","878.778","176","176","176"
"Central","TA-21385","Tom Ashbrook","872.122","177","177","177"
"Central","PP-18955","Paul Prost","865.00","178","178","178"
"Central","DM-13015","Darrin Martin","858.916","179","179","179"
"Central","CA-11965","Carol Adams","850.4608","180","180","180"
"Central","PF-19120","Peter Fuller","847.200","181","181","181"
"Central","NF-18385","Natalie Fritzler","842.394","182","182","182"
"Central","MK-17905","Michael Kennedy","841.248","183","183","183"
"Central","SG-20080","Sandra Glassco","839.43","184","184","184"
"Central","BH-11710","Brosina Hoffman","830.038","185","185","185"
"Central","MM-17920","Michael Moore","823.748","186","186","186"
"Central","CA-12775","Cynthia Arntzen","822.48","187","187","187"
"Central","CM-12190","Charlotte Melton","822.052","188","188","188"
"Central","BD-11500","Bradley Drucker","813.174","189","189","189"
"Central","MG-17875","Michael Grace","807.789","190","190","190"
"Central","ME-17725","Max Engle","798.4012","191","191","191"
"Central","DR-12880","Dan Reichenbach","796.324","192","192","192"
"Central","NS-18505","Neola Schneider","791.544","193","193","193"
"Central","NH-18610","Nicole Hansen","785.026","194","194","194"
"Central","TB-21595","Troy Blackwell","782.52","195","195","195"
"Central","DB-13060","Dave Brooks","781.152","196","196","196"
"Central","KD-16345","Katherine Ducich","775.010","197","197","197"
"Central","SC-20770","Stewart Carmichael","769.090","198","198","198"
"Central","JG-15160","James Galang","769.024","199","199","199"
"Central","DB-13120","David Bremer","760.98","200","200","200"
"Central","BF-11215","Benjamin Farhat","748.556","201","201","201"
"Central","CT-11995","Carol Triggs","746.350","202","202","202"
"Central","MC-17425","Mark Cousins","729.528","203","203","203"
"Central","CY-12745","Craig Yedwab","729.072","204","204","204"
"Central","CK-12760","Cyma Kinney","719.095","205","205","205"
"Central","GA-14725","Guy Armstrong","712.572","206","206","206"
"Central","EH-14125","Eugene Hildebrand","703.680","207","207","207"
"Central","CR-12820","Cyra Reiten","702.8424","208","208","208"
"Central","VS-21820","Vivek Sundaresam","697.465","209","209","209"
"Central","KM-16720","Kunst Miller","697.074","210","210","210"
"Central","RD-19810","Ross DeVincentis","680.536","211","211","211"
"Central","VF-21715","Vicky Freymann","679.748","212","212","212"
"Central","GA-14515","George Ashbrook","679.392","213","213","213"
"Central","MS-17365","Maribeth Schnelling","678.400","214","214","214"
"Central","SS-20410","Shahid Shariari","677.433","215","215","215"
"Central","RE-19450","Richard Eichhorn","672.596","216","216","216"
"Central","SC-20305","Sean Christensen","668.516","217","217","217"
"Central","DV-13465","Dianna Vittorini","663.75","218","218","218"
"Central","PA-19060","Pete Armstrong","658.528","219","219","219"
"Central","JR-16210","Justin Ritter","656.22","220","220","220"
"Central","JF-15565","Jill Fjeld","651.152","221","221","221"
"Central","SC-20575","Sonia Cooley","650.136","222","222","222"
"Central","PS-18760","Pamela Stobb","646.700","223","223","223"
"Central","DK-12985","Darren Koutras","646.2","224","224","224"
"Central","KF-16285","Karen Ferguson","639.83","225","225","225"
"Central","NR-18550","Nick Radford","635.679","226","226","226"
"Central","VP-21760","Victoria Pisteka","634.124","227","227","227"
"Central","LT-17110","Liz Thompson","634.113","228","228","228"
"Central","TT-21220","Thomas Thornton","629.596","229","229","229"
"Central","LH-17155","Logan Haushalter","625.089","230","230","230"
"Central","KH-16330","Katharine Harms","622.370","231","231","231"
"Central","DR-12940","Daniel Raglin","621.592","232","232","232"
"Central","SE-20110","Sanjit Engle","621.558","233","233","233"
"Central","JG-15310","Jason Gross","619.976","234","234","234"
"Central","PF-19165","Philip Fox","617.7","235","235","235"
"Central","PB-19105","Peter Bьhler","616.648","236","236","236"
"Central","NS-18640","Noel Staavos","614.488","237","237","237"
"Central","JS-15880","John Stevenson","611.900","238","238","238"
"Central","SP-20620","Stefania Perrino","609.614","239","239","239"
"Central","RR-19315","Ralph Ritter","608.552","240","240","240"
"Central","TH-21235","Tiffany House","600.825","241","241","241"
"Central","AD-10180","Alan Dominguez","600.558","242","242","242"
"Central","MN-17935","Michael Nguyen","595.376","243","243","243"
"Central","SC-20380","Shahid Collister","589.818","244","244","244"
"Central","CC-12475","Cindy Chapman","587.978","245","245","245"
"Central","EB-13930","Eric Barreto","583.164","246","246","246"
"Central","BD-11620","Brian DeCherney","582.07","247","247","247"
"Central","TP-21415","Tom Prescott","577.2808","248","248","248"
"Central","AB-10015","Aaron Bergman","576.564","249","249","249"
"Central","VB-21745","Victoria Brennan","574.476","250","250","250"
"Central","TH-21550","Tracy Hopkins","564.38","251","251","251"
"Central","PN-18775","Parhena Norris","563.94","252","252","252"
"Central","DC-12850","Dan Campbell","563.072","253","253","253"
"Central","MS-17710","Maurice Satty","561.972","254","254","254"
"Central","AG-10525","Andy Gerbode","559.71","255","255","255"
"Central","SW-20350","Sean Wendt","552.23","256","256","256"
"Central","JM-15265","Janet Molinari","550.836","257","257","257"
"Central","PO-18865","Patrick O'Donnell","550.82","258","258","258"
"Central","LR-17035","Lisa Ryan","547.997","259","259","259"
"Central","CC-12685","Craig Carroll","546.792","260","260","260"
"Central","Co-12640","Corey-Lock","538.388","261","261","261"
"Central","ML-17410","Maris LaWare","534.31","262","262","262"
"Central","DP-13000","Darren Powers","533.638","263","263","263"
"Central","NB-18655","Nona Balk","528.768","264","264","264"
"Central","DB-13405","Denny Blanton","526.45","265","265","265"
"Central","SM-20320","Sean Miller","526.45","266","265","265"
"Central","ML-17755","Max Ludwig","521.472","267","267","266"
"Central","GW-14605","Giulietta Weimer","513.861","268","268","267"
"Central","GZ-14470","Gary Zandusky","513.15","269","269","268"
"Central","BP-11290","Beth Paige","510.286","270","270","269"
"Central","NG-18355","Nat Gilpin","508.62","271","271","270"
"Central","DL-13330","Denise Leinenbach","508.11","272","272","271"
"Central","MW-18220","Mitch Webber","503.13","273","273","272"
"Central","MT-18070","Michelle Tran","495.7248","274","274","273"
"Central","HL-15040","Hunter Lopez","491.348","275","275","274"
"Central","GK-14620","Grace Kelly","489.844","276","276","275"
"Central","JD-16060","Julia Dunbar","483.482","277","277","276"
"Central","RD-19585","Rob Dowd","481.368","278","278","277"
"Central","JA-15970","Joseph Airdo","477.50","279","279","278"
"Central","DN-13690","Duane Noonan","477.3","280","280","279"
"Central","RW-19630","Rob Williams","476.548","281","281","280"
"Central","DP-13390","Dennis Pardue","470.412","282","282","281"
"Central","JC-15775","John Castell","470.376","283","283","282"
"Central","DB-13270","Deborah Brumfield","468.255","284","284","283"
"Central","RP-19270","Rachel Payne","467.6532","285","285","284"
"Central","LC-16870","Lena Cacioppo","449.458","286","286","285"
"Central","CM-12655","Corinna Mitchell","449.0496","287","287","286"
"Central","DW-13195","David Wiener","448.418","288","288","287"
"Central","DM-13345","Denise Monton","445.40","289","289","288"
"Central","CR-12730","Craig Reiter","444.492","290","290","289"
"Central","CK-12205","Chloris Kastensmidt","441.256","291","291","290"
"Central","JE-15610","Jim Epp","438.01","292","292","291"
"Central","DB-13210","Dean Braden","435.832","293","293","292"
"Central","DK-13150","David Kendrick","433.560","294","294","293"
"Central","RB-19570","Rob Beeghly","428.818","295","295","294"
"Central","PW-19240","Pierre Wener","408.422","296","296","295"
"Central","PG-18820","Patrick Gardner","401.124","297","297","296"
"Central","SC-20050","Sample Company A","400.980","298","298","297"
"Central","AT-10735","Annie Thurman","399.904","299","299","298"
"Central","LS-16945","Linda Southworth","396.394","300","300","299"
"Central","HA-14920","Helen Andreada","393.414","301","301","300"
"Central","AM-10705","Anne McFarland","383.84","302","302","301"
"Central","SG-20605","Speros Goranitis","378.060","303","303","302"
"Central","CA-12310","Christine Abelman","376.64","304","304","303"
"Central","MO-17800","Meg O'Connel","376.215","305","305","304"
"Central","JH-15985","Joseph Holt","376.10","306","306","305"
"Central","BB-10990","Barry Blumstein","374.076","307","307","306"
"Central","RR-19525","Rick Reed","373.94","308","308","307"
"Central","AS-10630","Ann Steele","372.446","309","309","308"
"Central","MM-18280","Muhammed MacIntyre","361.856","310","310","309"
"Central","MC-17845","Michael Chen","358.548","311","311","310"
"Central","AG-10330","Alex Grayson","356.95","312","312","311"
"Central","VG-21805","Vivek Grady","354.016","313","313","312"
"Central","EB-14170","Evan Bailliet","352.672","314","314","313"
"Central","HG-14845","Harry Greene","348.928","315","315","314"
"Central","CA-12055","Cathy Armstrong","348.556","316","316","315"
"Central","PM-18940","Paul MacIntyre","348.542","317","317","316"
"Central","AR-10825","Anthony Rawles","347.802","318","318","317"
"Central","RD-19930","Russell D'Ascenzo","346.982","319","319","318"
"Central","AF-10870","Art Ferguson","345.656","320","320","319"
"Central","JM-15865","John Murray","345.324","321","321","320"
"Central","JB-16000","Joy Bell-","345.2128","322","322","321"
"Central","EB-13750","Edward Becker","341.96","323","323","322"
"Central","BV-11245","Benjamin Venier","340.22","324","324","323"
"Central","BC-11125","Becky Castell","340.116","325","325","324"
"Central","CA-12265","Christina Anderson","339.1612","326","326","325"
"Central","LS-17245","Lynn Smith","337.828","327","327","326"
"Central","RB-19330","Randy Bradley","337.818","328","328","327"
"Central","SP-20650","Stephanie Phelps","333.766","329","329","328"
"Central","QJ-19255","Quincy Jones","332.598","330","330","329"
"Central","ZD-21925","Zuschuss Donatelli","331.08","331","331","330"
"Central","BF-10975","Barbara Fisher","328.54","332","332","331"
"Central","RC-19825","Roy Collins","328.224","333","333","332"
"Central","BF-11005","Barry Franz","327.42","334","334","333"
"Central","TM-21490","Tony Molinari","325.86","335","335","334"
"Central","JB-15400","Jennifer Braxton","323.040","336","336","335"
"Central","RA-19945","Ryan Akin","321.390","337","337","336"
"Central","MB-17305","Maria Bertelson","321.202","338","338","337"
"Central","DM-12955","Dario Medina","321.026","339","339","338"
"Central","SR-20740","Steven Roelle","318.872","340","340","339"
"Central","KE-16420","Katrina Edelman","315.7592","341","341","340"
"Central","MB-18085","Mick Brown","315.646","342","342","341"
"Central","LH-16900","Lena Hernandez","315.286","343","343","342"
"Central","BK-11260","Berenike Kampe","314.550","344","344","343"
"Central","MF-18250","Monica Federle","304.224","345","345","344"
"Central","JH-15910","Jonathan Howell","302.293","346","346","345"
"Central","CH-12070","Cathy Hwang","299.9","347","347","346"
"Central","FG-14260","Frank Gastineau","298.464","348","348","347"
"Central","EM-14200","Evan Minnotte","298.116","349","349","348"
"Central","EH-13945","Eric Hoffmann","296.668","350","350","349"
"Central","CD-11980","Carol Darley","296.022","351","351","350"
"Central","JH-15820","John Huston","293.84","352","352","351"
"Central","KB-16600","Ken Brennan","292.592","353","353","352"
"Central","SF-20200","Sarah Foster","291.85","354","354","353"
"Central","PO-19195","Phillina Ober","288.060","355","355","354"
"Central","CC-12100","Chad Cunningham","287.38","356","356","355"
"Central","TN-21040","Tanja Norvell","286.4","357","357","356"
"Central","HE-14800","Harold Engle","285.802","358","358","357"
"Central","JS-15940","Joni Sundaresam","284.848","359","359","358"
"Central","MC-17635","Matthew Clasen","283.206","360","360","359"
"Central","NF-18475","Neil Franzцsisch","281.396","361","361","360"
"Central","MS-17770","Maxwell Schwartz","279.944","362","362","361"
"Central","GB-14575","Giulietta Baptist","279.9","363","363","362"
"Central","TR-21325","Toby Ritter","278.4","364","364","363"
"Central","RB-19705","Roger Barcio","275.058","365","365","364"
"Central","NP-18700","Nora Preis","274.096","366","366","365"
"Central","RH-19510","Rick Huthwaite","273.96","367","367","366"
"Central","MV-18190","Mike Vittorini","272.42","368","368","367"
"Central","DK-13225","Dean Katz","270.356","369","369","368"
"Central","EH-14005","Erica Hernandez","269.68","370","370","369"
"Central","JK-15325","Jason Klamczynski","269.592","371","371","370"
"Central","ED-13885","Emily Ducich","268.288","372","372","371"
"Central","AR-10345","Alex Russell","265.086","373","373","372"
"Central","JP-15460","Jennifer Patt","264.033","374","374","373"
"Central","BF-11170","Ben Ferrer","260.992","375","375","374"
"Central","CS-12400","Christopher Schild","258.756","376","376","375"
"Central","LD-17005","Lisa DeCherney","257.98","377","377","376"
"Central","JS-15595","Jill Stevenson","257.508","378","378","377"
"Central","DL-13495","Dionis Lloyd","255.58","379","379","378"
"Central","EG-13900","Emily Grady","253.428","380","380","379"
"Central","LS-17230","Lycoris Saunders","253.340","381","381","380"
"Central","PG-18895","Paul Gonzalez","251.166","382","382","381"
"Central","TS-21160","Theresa Swint","250.48","383","383","382"
"Central","BN-11515","Bradley Nguyen","249.92","384","384","383"
"Central","CC-12430","Chuck Clark","249.58","385","385","384"
"Central","PS-18970","Paul Stevenson","249.555","386","386","385"
"Central","TG-21640","Trudy Glocke","248.82","387","387","386"
"Central","BG-11035","Barry Gonzalez","244.472","388","388","387"
"Central","TB-21625","Trudy Brown","243.166","389","389","388"
"Central","MH-17440","Mark Haberlin","241.5","390","390","389"
"Central","KW-16570","Kelly Williams","241.34","391","391","390"
"Central","CM-12385","Christopher Martinez","240.368","392","392","391"
"Central","AB-10060","Adam Bellavance","240.15","393","393","392"
"Central","CR-12580","Clay Rozendal","240.040","394","394","393"
"Central","SW-20245","Scot Wooten","239.358","395","395","394"
"Central","RC-19960","Ryan Crowe","233.108","396","396","395"
"Central","KB-16585","Ken Black","225.680","397","397","396"
"Central","JE-15715","Joe Elijah","224.736","398","398","397"
"Central","AH-10120","Adrian Hane","224.560","399","399","398"
"Central","LE-16810","Laurel Elliston","223.382","400","400","399"
"Central","RD-19720","Roger Demir","222.976","401","401","400"
"Central","BM-11575","Brendan Murry","219.636","402","402","401"
"Central","AH-10075","Adam Hart","217.44","403","403","402"
"Central","GG-14650","Greg Guthrie","214.720","404","404","403"
"Central","SR-20425","Sharelle Roach","212.94","405","405","404"
"Central","SP-20545","Sibella Parks","212.716","406","406","405"
"Central","FC-14335","Fred Chung","209.664","407","407","406"
"Central","TB-21355","Todd Boyes","209.376","408","408","407"
"Central","JG-15805","John Grady","209.168","409","409","408"
"Central","FO-14305","Frank Olsen","209.048","410","410","409"
"Central","SC-20800","Stuart Calhoun","208.696","411","411","410"
"Central","DB-12970","Darren Budd","203.1212","412","412","411"
"Central","LS-17200","Luke Schmidt","197.288","413","413","412"
"Central","MA-17995","Michelle Arnett","196.33","414","414","413"
"Central","AH-10210","Alan Hwang","195.96","415","415","414"
"Central","JF-15490","Jeremy Farry","191.968","416","416","415"
"Central","BE-11455","Brad Eason","188.32","417","417","416"
"Central","KA-16525","Kelly Andreada","186.048","418","418","417"
"Central","LC-17140","Logan Currie","184.242","419","419","418"
"Central","EB-13705","Ed Braxton","183.300","420","420","419"
"Central","MS-17980","Michael Stewart","181.208","421","421","420"
"Central","OT-18730","Olvera Toch","180.96","422","422","421"
"Central","AC-10660","Anna Chung","179.608","423","423","422"
"Central","TS-21610","Troy Staebel","179.428","424","424","423"
"Central","AA-10375","Allen Armold","178.37","425","425","424"
"Central","AB-10150","Aimee Bixby","169.188","426","426","425"
"Central","KM-16225","Kalyca Meade","165.28","427","427","426"
"Central","RD-19480","Rick Duston","162.39","428","428","427"
"Central","AC-10420","Alyssa Crouse","162.16","429","429","428"
"Central","WB-21850","William Brown","161.184","430","430","429"
"Central","TM-21010","Tamara Manning","161.01","431","431","430"
"Central","TB-21250","Tim Brockman","159.860","432","432","431"
"Central","PR-18880","Patrick Ryan","158.376","433","433","432"
"Central","CG-12520","Claire Gute","154.880","434","434","433"
"Central","DK-13090","Dave Kipp","152.754","435","435","434"
"Central","CD-11920","Carlos Daly","152.52","436","436","435"
"Central","EH-13990","Erica Hackney","151.192","437","437","436"
"Central","MO-17500","Mary O'Rourke","151.027","438","438","437"
"Central","TB-21520","Tracy Blumstein","149.806","439","439","438"
"Central","GH-14665","Greg Hansen","146.9408","440","440","439"
"Central","Dp-13240","Dean percer","146.89","441","441","440"
"Central","AZ-10750","Annie Zypern","146.720","442","442","441"
"Central","MG-17695","Maureen Gnade","145.504","443","443","442"
"Central","RB-19435","Richard Bierner","144.574","444","444","443"
"Central","DC-13285","Debra Catini","144.36","445","445","444"
"Central","MV-17485","Mark Van Huff","142.520","446","446","445"
"Central","CW-11905","Carl Weiss","142.344","447","447","446"
"Central","HP-14815","Harold Pawlan","141.474","448","448","447"
"Central","CC-12670","Craig Carreira","139.638","449","449","448"
"Central","TP-21565","Tracy Poddar","133.92","450","450","449"
"Central","CM-12445","Chuck Magee","132.950","451","451","450"
"Central","GM-14500","Gene McClure","131.476","452","452","451"
"Central","MO-17950","Michael Oakman","130.288","453","453","452"
"Central","EB-13870","Emily Burns","127.869","454","454","453"
"Central","LO-17170","Lori Olson","125.980","455","455","454"
"Central","CL-11890","Carl Ludwig","123.552","456","456","455"
"Central","HD-14785","Harold Dahlen","122.052","457","457","456"
"Central","JF-15295","Jason Fortune-","120.888","458","458","457"
"Central","HZ-14950","Henia Zydlo","120.600","459","459","458"
"Central","JJ-15760","Joel Jenkins","119.96","460","460","459"
"Central","LW-17215","Luke Weiss","118.822","461","461","460"
"Central","CB-12415","Christy Brittain","117.540","462","462","461"
"Central","ES-14020","Erica Smith","117.456","463","463","462"
"Central","PW-19030","Pauline Webber","115.84","464","464","463"
